Si. No.,Crime Head,Cases Registered,Cases Pending Trial from the Previous Year,Total Cases Pending Trial,Cases Abated by Court ,Cases Withdrawn from Prosecution ,Cases Compounded or Compromised ,Cases Disposed off by Plea Bargaining,Cases Quashed ,Cases Disposed off without Trial,Cases Stayed or Sent to Record Room,Cases Convicted Out of Cases from Previous Year ,Cases Convicted Out of Cases during the Year ,Cases Convicted ,Cases Discharged ,Cases Acquitted ,Cases which Trials were Completed ,Cases Disposed off by Courts,Cases Pending Trial at End of the Year ,Conviction Rate,Pendency Percentage
3.2,Deaths due to Negligence relating to Rail Accidents,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NA,100
3.4,Deaths due to Negligence of Civic Bodies,19,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,NA,100
10.2.4,Attempt to Acid Attack,56,7,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,NA,100
10.2.7,Other Grievous Hurt,39,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,NA,100
13.7,Importation of Girls from Foreign Country,64,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,NA,100
16,Selling of Minors for Prostitution,72,7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,NA,100
17,Buying of Minors for Prostitution,126,6,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,NA,100
21,Offences against State,13,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,NA,100
21.1,Sedition,8,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NA,100
21.2,Others,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,100
Offences against the State (Total),Offences against the State (Total),13,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,NA,100
23.13,Electricity/Power Supply Disputes,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA,100
24.2,"Imputation, assertions prejudicial to national integration",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,100
31.2,Dacoity with Murder,51,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,NA,100
36.1,Counterfeit Coin,179,0,179,0,0,0,0,0,0,1,0,0,0,0,0,0,0,179,NA,100
36.2,Counterfeiting Government Stamp,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,100
36.3,Counterfeiting of Seal or Mark,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA,100
37.1.3,Credit Card/Debit Card,535,108,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,NA,100
40,Harbouring an Offender,10,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,NA,100
13.3,Kidnapping and Abduction in order to Murder,1721,19,1740,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1739,0,99.9
37.1.2,ATMs,536,192,728,0,0,0,0,0,0,0,0,0,0,0,1,1,1,727,0,99.9
23.5,Caste Conflict,425,5,430,0,0,0,0,0,0,0,0,0,0,0,1,1,1,429,0,99.8
47,Cheating by Impersonation,794,35,829,0,0,1,0,0,1,0,0,0,0,0,1,1,2,827,0,99.8
23.15,Rioting/Attacks on Police Personnel or Govt Servants,200,59,259,0,0,0,0,0,0,0,0,0,0,0,1,1,1,258,0,99.6
10.1.5,Other Simple Hurt,4496,354,4850,0,0,15,0,0,15,0,5,1,6,0,5,11,26,4824,54.5,99.5
19,Attempt to Commit Rape,347,46,393,0,0,0,0,0,0,0,0,0,0,2,0,2,2,391,0,99.5
23.3,Industrial,190,5,195,0,0,0,0,0,0,0,0,0,0,0,1,1,1,194,0,99.5
10.2.2,Voluntarily causing grievous hurt by dangerous weapons or means,31939,1229,33168,6,2,30,0,2,40,10,38,1,39,9,150,198,238,32930,19.7,99.3
23.1,Land/Property Dispute,2198,62,2260,0,0,1,1,0,2,0,0,0,0,1,14,15,17,2243,0,99.2
10.2,Grievous Hurt,82791,3146,85937,12,3,114,0,2,131,11,174,7,181,12,419,612,743,85194,29.6,99.1
10.2.1,Voluntarily causing grievous hurt,48365,1671,50036,5,1,78,0,0,84,1,121,3,124,2,240,366,450,49586,33.9,99.1
23.1,Communal/Religious,550,216,766,0,0,0,0,0,0,5,0,0,0,0,7,7,7,759,0,99.1
34,Criminal Breach of Trust,21664,1508,23172,8,2,34,2,2,48,15,49,4,53,10,104,167,215,22957,31.7,99.1
10.2.5,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,1005,95,1100,0,0,0,0,0,0,0,1,0,1,0,10,11,11,1089,9.1,99
54,Insult to the Modesty of Women,10804,1202,12006,0,1,26,0,0,27,1,35,2,37,7,47,91,118,11888,40.7,99
35,Dishonestly Receiving/Dealing-in Stolen Property,2166,499,2665,0,0,0,0,0,0,0,28,0,28,0,0,28,28,2637,100,98.9
23.12,Enmity/Rivalry,3343,235,3578,0,0,1,0,0,1,0,16,3,19,0,23,42,43,3535,45.2,98.8
31,Dacoity,3126,165,3291,0,0,0,0,0,0,11,5,4,9,2,29,40,40,3251,22.5,98.8
31.1,Dacoity,3075,164,3239,0,0,0,0,0,0,11,5,4,9,2,29,40,40,3199,22.5,98.8
9,"Miscarriage, Infanticide, Foeticide and Abandonment",343,54,397,0,0,0,0,0,0,1,1,0,1,0,4,5,5,392,20,98.7
13.5,Kidnapping and Abduction of Women to compel her for marriage,5883,567,6450,0,0,0,0,0,0,3,35,0,35,5,46,86,86,6364,40.7,98.7
23.9,Water Dispute,276,8,284,0,0,0,0,0,0,0,0,0,0,0,4,4,4,280,0,98.6
37.2,Other Cheating,81797,7283,89080,30,3,340,17,37,427,180,155,20,175,75,608,858,1285,87795,20.4,98.6
38,Offences relating to Elections,265,14,279,0,0,0,0,0,0,0,1,0,1,0,3,4,4,275,25,98.6
11,Wrongful Restraint/Confinement,4672,324,4996,0,0,22,0,1,23,1,23,2,25,0,27,52,75,4921,48.1,98.5
13.8,Other Kidnapping & Abduction,4066,377,4443,4,0,2,0,0,6,3,20,0,20,17,22,59,65,4378,33.9,98.5
12.2.1,at Work or Office Premises,626,44,670,0,0,2,0,0,2,0,4,2,6,0,3,9,11,659,66.7,98.4
12.2.2,In Public Transport System,277,37,314,0,0,0,0,0,0,0,3,2,5,0,0,5,5,309,100,98.4
